urun_id,urun_fiyat,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü_standardı,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,tasarim_gövde_malzemesi_kapak,ağ_bağlantilari_5g,ağ_bağlantilari_4.5g_desteği,ağ_bağlantilari_4g,ağ_bağlantilari_2g,ağ_bağlantilari_3g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,özelli̇kler_suya_dayanıklılık
830,9.392745258631441,6.6,PLS,FHD+,60.0,5000.0,Var,15.0,Yok,50.0,Yok,1080p (Full HD),30.0,8.0,8.0,8.0,,4.0,64.0,8.4,192.0,Plastik,Yok,Var,Var,Var,Var,5.0,Yok,Android,Yok
832,8.889643251340082,6.6,IPS LCD,HD+,90.0,5000.0,Yok,,Yok,13.0,Yok,1080p (Full HD),30.0,8.0,8.0,12.0,231.8,4.0,128.0,8.95,193.0,Plastik,Yok,Var,Var,Var,Var,5.0,,Android,Yok
833,9.257477742462893,6.52,IPS LCD,HD+,60.0,5000.0,Yok,,Yok,13.0,Yok,1080p (Full HD),30.0,8.0,8.0,12.0,,3.0,32.0,8.9,202.0,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.0,Yok,Android,Yok
834,9.893437216682626,6.57,OLED,FHD+,120.0,4300.0,Var,66.0,Yok,50.0,Yok,2160p (Ultra HD) 4K,30.0,32.0,8.0,6.0,598.3,8.0,128.0,7.77,175.0,Cam,Yok,Var,Var,Var,Var,5.2,Var,Android,Yok
835,8.987196820661973,6.6,IPS LCD,HD+,90.0,5000.0,Yok,,Yok,48.0,Yok,1440p (Quad HD) 2K,30.0,8.0,8.0,12.0,,4.0,128.0,8.8,,Plastik,Yok,Var,Var,Var,Var,5.0,Yok,Android,Yok
837,9.04793908261736,6.52,IPS LCD,HD+,60.0,5000.0,,,Yok,16.0,Yok,1080p (Full HD),30.0,8.0,8.0,12.0,,4.0,64.0,,,,Yok,Var,Var,Var,Var,5.0,Yok,Android,Yok
838,10.265753537435508,6.67,IPS LCD,FHD+,60.0,5000.0,Var,18.0,Yok,64.0,Yok,1080p (Full HD),60.0,16.0,8.0,11.0,,6.0,256.0,9.1,199.0,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.0,Var,Android,Yok
839,8.644343769875992,6.53,IPS LCD,FHD+,60.0,4500.0,Yok,,Yok,48.0,Yok,1080p (Full HD),30.0,25.0,8.0,12.0,,6.0,128.0,8.8,173.0,,Yok,Var,Var,Var,Var,5.0,Var,Android,Yok
840,8.78331806821663,6.09,IPS LCD,HD+,60.0,4000.0,,,Yok,13.0,Yok,1080p (Full HD),30.0,8.0,8.0,12.0,,3.0,32.0,8.8,170.0,Plastik,Yok,Var,Var,Var,Var,5.0,Yok,Android,Yok
842,9.219121702983522,6.67,IPS LCD,FHD+,120.0,5160.0,Var,33.0,Yok,64.0,Yok,2160p (Ultra HD) 4K,30.0,20.0,8.0,8.0,403.8,6.0,64.0,9.4,215.0,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.1,Var,Android,Var
844,8.81312761932306,6.4,Super AMOLED,HD+,60.0,4000.0,Var,15.0,Yok,13.0,Yok,1080p (Full HD),30.0,8.0,8.0,14.0,,3.0,32.0,7.8,169.0,Plastik,Yok,Var,Var,Var,Var,5.0,Yok,Android,Yok
849,8.290292591224315,5.0,TFT LCD,SD,60.0,2600.0,Yok,,Yok,8.0,Yok,1080p (Full HD),30.0,5.0,4.0,28.0,,1.0,8.0,8.6,156.0,,Yok,Var,Var,Var,Var,4.0,Var,Android,Yok
850,8.88477365343589,6.6,IPS LCD,HD+,90.0,5000.0,Var,18.0,Yok,50.0,Yok,1080p (Full HD),30.0,8.0,8.0,12.0,154.4,4.0,256.0,8.75,189.0,,Yok,Var,Var,Var,Var,5.0,Var,Android,Yok
