urun_id,urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü_standardı,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,tasarim_gövde_malzemesi_kapak,ağ_bağlantilari_5g,ağ_bağlantilari_4.5g_desteği,ağ_bağlantilari_4g,ağ_bağlantilari_2g,ağ_bağlantilari_3g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,özelli̇kler_suya_dayanıklılık
44,81.0,6.2 İnç,Dynamic AMOLED,FHD+,120 Hz,4000 mAh,Var,25 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,8 Çekirdek,3 nm,2.193.700 Puan,12 GB,128 GB,7.2 mm,162 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
45,92.0,6.8 İnç,OLED,FHD+,120 Hz,5850 mAh,Var,100 W,Var,50 MP,Var,2160p (Ultra HD) 4K,60 fps,50 MP,8 Çekirdek,3 nm,2.727.900 Puan,12 GB,512 GB,8.8 mm,223 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
46,73.0,6.7 İnç,Dynamic AMOLED,FHD+,120 Hz,4700 mAh,Var,25 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,10 MP,10 Çekirdek,4 nm,1.832.742 Puan,8 GB,256 GB,8 mm,213 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
48,57.0,6.7 İnç,Super AMOLED,FHD+,120 Hz,5000 mAh,Var,25 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,13 MP,8 Çekirdek,5 nm,583.300 Puan,6 GB,128 GB,7.7 mm,200 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
49,93.0,6.9 İnç,AMOLED,FHD+,120 Hz,6500 mAh,Var,100 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,8 Çekirdek,3 nm,2.720.000 Puan,12 GB,256 GB,8.05 mm,220 Gram,,Var,Var,Var,Var,Var,6.0,Var,Android,Var
50,83.0,6.7 İnç,OLED,FHD+,120 Hz,4441 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,6 Çekirdek,3 nm,1.740.400 Puan,8 GB,256 GB,8.25 mm,221 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,iOS,Var
51,91.0,6.9 İnç,OLED,FHD+,120 Hz,4832 mAh,Var,40 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,18 MP,6 Çekirdek,3 nm,2.697.900 Puan,12 GB,512 GB,8.75 mm,231 Gram,Cam,Var,Var,Var,Var,Var,6.0,Var,iOS,Var
52,61.0,6.7 İnç,Super AMOLED,FHD+,120 Hz,5000 mAh,Var,45 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,12 MP,8 Çekirdek,4 nm,655.200 Puan,8 GB,128 GB,7.4 mm,195 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
53,89.0,6.85 İnç,AMOLED,FHD+,144 Hz,7500 mAh,Var,80 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,16 MP,8 Çekirdek,3 nm,2.974.500 Puan,12 GB,256 GB,8.9 mm,230 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
54,60.0,6.67 İnç,AMOLED,FHD+,120 Hz,5000 mAh,Var,67 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,8 Çekirdek,6 nm,599.600 Puan,8 GB,256 GB,7.87 mm,190 Gram,Kauçuk/Plastik (Deri Görünümlü),Var,Var,Var,Var,Var,5.2,Var,Android,Var
