urun_id,urun_fiyat,urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü_standardı,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,tasarim_gövde_malzemesi_kapak,ağ_bağlantilari_5g,ağ_bağlantilari_4.5g_desteği,ağ_bağlantilari_4g,ağ_bağlantilari_2g,ağ_bağlantilari_3g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,özelli̇kler_suya_dayanıklılık
277,69349.05,73.0,6.7 İnç,OLED,FHD+,60 Hz,4383 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,6 Çekirdek,4 nm,1.417.400 Puan,6 GB,256 GB,7.8 mm,201 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,iOS,Var
278,10000.0,44.0,6.79 İnç,IPS LCD,FHD+,90 Hz,5000 mAh,Var,18 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,8 MP,8 Çekirdek,12 nm,278.500 Puan,4 GB,128 GB,8.17 mm,198.5 Gram,Cam,Yok,Var,Var,Var,Var,5.3,Yok,Android,Var
279,28310.0,50.0,4.7 İnç,IPS LCD,HD+,60 Hz,2018 mAh,Var,20 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,7 MP,6 Çekirdek,5 nm,1.354.000 Puan,4 GB,64 GB,7.3 mm,144 Gram,Cam,Var,Var,Var,Var,Var,5.0,Var,iOS,Var
280,,60.0,6.67 İnç,AMOLED,FHD+,120 Hz,5000 mAh,Var,67 W,Yok,108 MP,Yok,2160p (Ultra HD) 4K,30 fps,16 MP,8 Çekirdek,6 nm,808.800 Puan,8 GB,256 GB,8.8 mm,203 Gram,Cam,Var,Var,Var,Var,Var,5.2,Var,Android,Var
281,11500.0,55.0,6.67 İnç,AMOLED,FHD+,120 Hz,5020 mAh,Var,33 W,Yok,108 MP,Yok,2160p (Ultra HD) 4K,30 fps,16 MP,8 Çekirdek,8 nm,417.800 Puan,8 GB,128 GB,8.1 mm,193 Gram,Cam,Yok,Var,Var,Var,Var,5.1,Var,Android,Var
282,14400.91,41.0,6.4 İnç,Super AMOLED,FHD+,60 Hz,4000 mAh,Var,15 W,Yok,25 MP,Yok,1080p (Full HD),30 fps,25 MP,8 Çekirdek,10 nm,274.900 Puan,6 GB,64 GB,7.7 mm,166 Gram,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.0,Yok,Android,Yok
283,94999.0,82.0,6.5 İnç,Dynamic AMOLED,FHD+,120 Hz,4400 mAh,Var,25 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,10 MP,8 Çekirdek,3 nm,1.995.100 Puan,12 GB,512 GB,8.9 mm,215 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
284,7586.38,44.0,6.67 İnç,IPS LCD,HD+,120 Hz,5000 mAh,Var,18 W,Yok,48 MP,Yok,1440p (Quad HD) 2K,30 fps,8 MP,8 Çekirdek,12 nm,249.200 Puan,4 GB,128 GB,7.8 mm,192 Gram,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,,Var,Android,Var
285,8970.4,50.0,6.78 İnç,IPS LCD,FHD+,90 Hz,5000 mAh,Var,18 W,Yok,64 MP,Yok,1440p (Quad HD) 2K,30 fps,13 MP,8 Çekirdek,12 nm,283.300 Puan,8 GB,256 GB,7.7 mm,188 Gram,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,,Var,Android,Var
286,8958.54,43.0,6.67 İnç,IPS LCD,HD+,90 Hz,5100 mAh,Var,45 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,5 MP,8 Çekirdek,11 nm,249.600 Puan,6 GB,128 GB,7.68 mm,186 Gram,,Yok,Var,Var,Var,Var,5.0,Var,Android,Var
