urun_fiyat,urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_cozunurlugu_standardi,ekran_ekran_yenileme_hizi,ekran_ekran_dayanikliligi,batarya_batarya_kapasitesi_tipik,batarya_hizli_sarj,batarya_hizli_sarj_gucu_maks,batarya_kablosuz_sarj,kamera_kamera_cozunurlugu,kamera_optik_goruntu_sabitleyici_ois,kamera_video_kayit_cozunurlugu,kamera_video_fps_degeri,kamera_on_kamera_cozunurlugu,temel_donanim_cpu_cekirdegi,temel_donanim_cpu_uretim_teknolojisi,temel_donanim_antutu_puani_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalinlik,tasarim_agirlik,tasarim_govde_malzemesi_kapak,ag_baglantilari_5g,kablosuz_baglantilar_bluetooth_versiyonu,kablosuz_baglantilar_nfc,isletim_sistemi_isletim_sistemi,ozellikler_suya_dayaniklilik,ozellikler_suya_dayaniklilik_seviyesi,temel_donanim_yonga_seti_marka
20999.0,66.0,6.79,AMOLED,FHD+,120,,7500,Var,66.0,0,108,1.0,2160p (Ultra HD) 4K,30 fps,16.0,8 Çekirdek,4,754.200 Puan,8.0,256,7.76,189.0,Plastik (Cam Görünümlü),Var,5.2,Var,Android,1.0,IPX9K,Qualcomm
7749.0,42.0,6.7,PLS,HD+,90,,5000,Var,25.0,0,50,0.0,1080p (Full HD),30 fps,8.0,8 Çekirdek,6,394.400 Puan,4.0,128,7.6,184.0,Plastik (Cam Görünümlü),Yok,5.3,Yok,Android,1.0,IPX4,MediaTek
79006.48,88.0,6.9,Dynamic AMOLED,QHD+,120,Corning Gorilla Armor 2,5000,Var,45.0,1,200,1.0,4320p (Ultra HD) 8K,30 fps,12.0,8 Çekirdek,3,2.551.600 Puan,12.0,512,8.2,218.0,Cam,Var,5.4,Var,Android,1.0,IPX8,Qualcomm
21389.93,73.0,6.67,AMOLED,FHD+,120,Corning Gorilla Glass 7i,6000,Var,90.0,0,50,1.0,2160p (Ultra HD) 4K,60 fps,20.0,8 Çekirdek,4,1.700.100 Puan,8.0,256,8.29,195.0,Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),Var,6.0,Var,Android,1.0,IPX8,MediaTek
13266.06,55.0,6.7,Super AMOLED,FHD+,90,Corning Gorilla Glass Victus,5000,Var,25.0,0,50,1.0,1080p (Full HD),30 fps,13.0,8 Çekirdek,5,463.100 Puan,8.0,256,7.5,192.0,,Var,5.3,Var,Android,1.0,IPX4,Samsung Exynos
53449.0,71.0,6.1,OLED,FHD+,60,Corning Ceramic Shield Glass,3349,Var,20.0,1,48,1.0,2160p (Ultra HD) 4K,60 fps,12.0,6 Çekirdek,4,1.753.700 Puan,6.0,256,7.8,171.0,Cam,Var,5.3,Var,iOS,1.0,IPX8,Apple
77999.0,84.0,6.3,OLED,FHD+,120,Corning Ceramic Shield Glass (Gen2),3582,Var,25.0,1,48,1.0,2160p (Ultra HD) 4K,60 fps,12.0,6 Çekirdek,3,1.853.700 Puan,8.0,128,8.25,199.0,Cam,Var,5.3,Var,iOS,1.0,IPX8,Apple
61999.0,86.0,6.7,Dynamic AMOLED,QHD+,120,Corning Gorilla Glass Victus 2,4900,Var,45.0,1,50,1.0,4320p (Ultra HD) 8K,30 fps,12.0,8 Çekirdek,3,2.258.900 Puan,12.0,256,7.3,190.0,Cam,Var,5.4,Var,Android,1.0,IPX8,Qualcomm
12399.95,57.0,6.7,Super AMOLED,FHD+,120,Corning Gorilla Glass Victus+,5000,Var,25.0,0,50,1.0,2160p (Ultra HD) 4K,30 fps,13.0,8 Çekirdek,5,583.300 Puan,6.0,128,7.7,200.0,Cam,Var,5.3,Var,Android,1.0,IPX7,Samsung Exynos
31475.53,79.0,6.83,AMOLED,FHD+,120,Corning Gorilla Glass 7i,5500,Var,67.0,0,50,1.0,2160p (Ultra HD) 4K,60 fps,32.0,8 Çekirdek,4,1.640.700 Puan,12.0,256,7.5,194.0,Plastik (Cam Görünümlü),Var,6.0,Var,Android,1.0,IPX8,MediaTek
