urun_fiyat,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü_standardı,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,tasarim_gövde_malzemesi_kapak,ağ_bağlantilari_5g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,özelli̇kler_suya_dayanıklılık
11.289781913656018,671.0,OLED,FHD+,120.0,7100.0,1.0,100.0,1,50.0,1.0,2160p (Ultra HD) 4K,60.0,50.0,8.0,3.0,,12.0,512.0,832.0,219.0,,1,6.0,1.0,Android,1.0
10.086267337660777,61.0,OLED,FHD+,60.0,3227.0,1.0,20.0,1,12.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,5.0,1550800.0,4.0,128.0,765.0,174.0,Cam,1,5.0,1.0,iOS,1.0
9.423388333887711,667.0,AMOLED,FHD+,120.0,5500.0,1.0,45.0,0,200.0,1.0,1080p (Full HD),60.0,32.0,8.0,6.0,423900.0,8.0,256.0,824.0,180.0,Plastik (Cam Görünümlü),0,5.3,1.0,Android,1.0
9.783860755696242,67.0,Super AMOLED,FHD+,120.0,5000.0,1.0,45.0,0,50.0,1.0,2160p (Ultra HD) 4K,30.0,12.0,8.0,4.0,655200.0,8.0,256.0,74.0,195.0,Cam,1,5.4,1.0,Android,1.0
9.998615897627705,667.0,AMOLED,FHD+,120.0,6000.0,1.0,90.0,0,50.0,1.0,2160p (Ultra HD) 4K,60.0,20.0,8.0,4.0,1700100.0,12.0,512.0,829.0,195.0,Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),1,6.0,1.0,Android,1.0
10.492662142713096,67.0,AMOLED,FHD+,120.0,6000.0,1.0,100.0,1,200.0,1.0,2160p (Ultra HD) 4K,60.0,50.0,8.0,4.0,1902700.0,12.0,512.0,81.0,205.0,,1,5.4,1.0,Android,1.0
11.23142464912873,69.0,Dynamic AMOLED,QHD+,120.0,5000.0,1.0,45.0,1,200.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,8.0,3.0,2551600.0,12.0,256.0,82.0,218.0,Cam,1,5.4,1.0,Android,1.0
10.774780918479548,62.0,Dynamic AMOLED,FHD+,120.0,4000.0,1.0,25.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,8.0,3.0,2193700.0,12.0,256.0,72.0,162.0,Cam,1,5.4,1.0,Android,1.0
11.119882876860622,631.0,AMOLED,FHD+,120.0,6040.0,1.0,90.0,1,200.0,1.0,2160p (Ultra HD) 4K,60.0,50.0,8.0,3.0,2554000.0,16.0,512.0,795.0,190.0,Cam,1,6.0,1.0,Android,1.0
10.605990828020099,61.0,OLED,FHD+,60.0,4005.0,1.0,20.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,3.0,1405700.0,8.0,128.0,78.0,167.0,Cam,1,5.3,1.0,iOS,1.0
